"source_file","tag","attr","target","exists","external","suggested_target"
"1.html","a","href","312-50v13%20Exam%20-%20Free%20Actual%20Q&As,%20Page%201%20_%20ExamTopics.htm","True","False","312-50v13 Exam - Free Actual Q&As, Page 1 _ ExamTopics.htm"
"2.html","a","href","312-50v13%20Exam%20-%20Free%20Actual%20Q&As,%20Page%202%20_%20ExamTopics.htm","True","False","312-50v13 Exam - Free Actual Q&As, Page 2 _ ExamTopics.htm"
"3.html","a","href","312-50v13%20Exam%20-%20Free%20Actual%20Q&As,%20Page%203%20_%20ExamTopics.htm","True","False","312-50v13 Exam - Free Actual Q&As, Page 3 _ ExamTopics.htm"
"4.html","a","href","312-50v13%20Exam%20-%20Free%20Actual%20Q&As,%20Page%204%20_%20ExamTopics.htm","True","False","312-50v13 Exam - Free Actual Q&As, Page 4 _ ExamTopics.htm"
"5.html","a","href","312-50v13%20Exam%20-%20Free%20Actual%20Q&As,%20Page%205%20_%20ExamTopics.htm","True","False","312-50v13 Exam - Free Actual Q&As, Page 5 _ ExamTopics.htm"
"6.html","a","href","312-50v13%20Exam%20-%20Free%20Actual%20Q&As,%20Page%206%20_%20ExamTopics.htm","True","False","312-50v13 Exam - Free Actual Q&As, Page 6 _ ExamTopics.htm"
"7.html","a","href","312-50v13%20Exam%20-%20Free%20Actual%20Q&As,%20Page%207%20_%20ExamTopics.htm","True","False","312-50v13 Exam - Free Actual Q&As, Page 7 _ ExamTopics.htm"
"index.backup.html","a","href","312-50v13 Exam - Free Actual Q&As, Page 1 _ ExamTopics.htm","True","False","312-50v13 Exam - Free Actual Q&As, Page 1 _ ExamTopics.htm"
"index.backup.html","a","href","312-50v13 Exam - Free Actual Q&As, Page 2 _ ExamTopics.htm","True","False","312-50v13 Exam - Free Actual Q&As, Page 2 _ ExamTopics.htm"
"index.backup.html","a","href","312-50v13 Exam - Free Actual Q&As, Page 3 _ ExamTopics.htm","True","False","312-50v13 Exam - Free Actual Q&As, Page 3 _ ExamTopics.htm"
"index.backup.html","a","href","312-50v13 Exam - Free Actual Q&As, Page 4 _ ExamTopics.htm","True","False","312-50v13 Exam - Free Actual Q&As, Page 4 _ ExamTopics.htm"
"index.backup.html","a","href","312-50v13 Exam - Free Actual Q&As, Page 5 _ ExamTopics.htm","True","False","312-50v13 Exam - Free Actual Q&As, Page 5 _ ExamTopics.htm"
"index.backup.html","a","href","312-50v13 Exam - Free Actual Q&As, Page 6 _ ExamTopics.htm","True","False","312-50v13 Exam - Free Actual Q&As, Page 6 _ ExamTopics.htm"
"index.backup.html","a","href","312-50v13 Exam - Free Actual Q&As, Page 7 _ ExamTopics.htm","True","False","312-50v13 Exam - Free Actual Q&As, Page 7 _ ExamTopics.htm"
"index.html","link","href","https://fonts.googleapis.com/css2?family=Inter:wght@400;600&family=Poppins:wght@400;600&family=Roboto:wght@400;700&display=swap","True","True","https://fonts.googleapis.com/css2?family=Inter:wght@400;600&family=Poppins:wght@400;600&family=Roboto:wght@400;700&display=swap"
